YEAR,DISTRICT,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
2016,317,Brooklyn,51703.1,3726.5,4748.2,0,0,64.8,16.8
2017,317,Brooklyn,51701.8,3688.1,4910.6,0,0,39.4,10.8
2018,317,Brooklyn,52692.8,3800.6,5101.4,0,0,93.5,19.6
2019,317,Brooklyn,52028.6,3653.7,5227.2,0,0,39.9,8
2020,317,Brooklyn,56092.9,4123,6104.1,0,0,0,7.1
2021,317,Brooklyn,57045.8,4070.2,5786.6,0,0,13.8,6
2022,317,Brooklyn,51546.9,3633.8,5061,0,0,38.6,4.1
2023,317,Brooklyn,39282.1,2657.7,3826.3,8,0,0,4.3
1991,318,Brooklyn,12630,0,0,0,0,0,0
1992,318,Brooklyn,69561.4,0,0,0,0,0,0
1993,318,Brooklyn,70205,5185.1,2677.5,0,0,0,0
1994,318,Brooklyn,68875.8,8739.8,4688.3,0,0,0,39.5
1995,318,Brooklyn,68208.7,7752.3,4730.1,0,0,0,32.8
1996,318,Brooklyn,72056.7,7669.5,4438.7,0,0,0,8.6
1997,318,Brooklyn,69093.8,8045.8,4705,0,0,0,32.8
1998,318,Brooklyn,64778.4,10305.9,6760.9,0,0,453.1,42.2
1999,318,Brooklyn,63803.4,10934.1,7855.5,0,0,786.2,53
2000,318,Brooklyn,63282.4,11099.8,8340.1,0,0,724.7,56.6
2001,318,Brooklyn,65873.5,10421.6,8768.8,0,0,1043,61.2
2002,318,Brooklyn,71925.2,9318.5,4453.9,0,0,0,45.6
2003,318,Brooklyn,78072.1,9089.9,0,0,0,0,0
2004,318,Brooklyn,74484.8,10177.5,5256.3,0,0,685.9,12.6
2005,318,Brooklyn,69850.9,10093.9,6779.6,0,0,575.6,37.8
2006,318,Brooklyn,68153.6,9774.6,6389.7,0,0,732.5,29.4
2007,318,Brooklyn,66948.8,9506.7,6112,0,0,270.2,20.2
2008,318,Brooklyn,64146,8690.8,6044.7,0,0,0,26
2009,318,Brooklyn,64147.4,7951.3,5959.1,0,0,0,12.4
2010,318,Brooklyn,62408.9,7519.4,5699.1,0,0,0,17.6
2011,318,Brooklyn,66500.8,7710.3,5671.5,0,0,0,0
2012,318,Brooklyn,68145.7,7192.3,5428.4,0,0,0,10.8
2013,318,Brooklyn,65608.8,7179.5,5450.3,0,0,0,25.9
2014,318,Brooklyn,64125,7016.8,5706.2,0,0,0,21
2015,318,Brooklyn,63896.2,6989.8,6013.2,0,0,0,29.4
2016,318,Brooklyn,64761.6,7224.8,6549.4,0,0,108.8,21
2017,318,Brooklyn,65058.8,6954.2,6896.9,0,0,152.1,35.6
2018,318,Brooklyn,66402.7,6904.4,7053,0,0,326.6,54.6
2019,318,Brooklyn,65120.9,6594.3,7173.1,0,0,172.8,16.8
2020,318,Brooklyn,70316.9,7220,8550.2,0,0,0,13.8
2021,318,Brooklyn,71310,6781.2,7878.7,0,0,72.7,12
2022,318,Brooklyn,64765,6225.7,7314.5,0,0,272,8.7
2023,318,Brooklyn,49532.5,4563.7,5530.7,31.7,0.3,0,8.5
1991,401,Queens,51527.5,0,0,0,0,0,0
1992,401,Queens,70282.4,0,0,0,0,0,0
1993,401,Queens,67957.2,1763.3,1047.5,0,0,0,0
1994,401,Queens,63570.4,5754.9,3743.3,0,0,0,29.7
1995,401,Queens,63056.5,5178.1,3747.3,0,0,0,36.2
1996,401,Queens,65009.3,5339.5,3577.2,0,0,0,6.7
1997,401,Queens,62805,6248.7,4263.8,0,0,0,40.9
1998,401,Queens,57860.9,8808.1,6492.5,0,0,0,40.9
1999,401,Queens,57097.5,9402.1,7032.6,0,0,206.4,43.7
2000,401,Queens,55905.6,9760,7144.8,0,0,147.4,57.3
2001,401,Queens,57657.4,9622.4,7364.5,0,0,176.6,39.8
2002,401,Queens,61991.1,8257.5,3683.4,0,0,0,36.9
2003,401,Queens,64408.6,7768.9,0,0,0,0,0
2004,401,Queens,58897.4,9186.3,4442.9,0,0,197.3,11.7
2005,401,Queens,57187,9240.3,5775.9,0,0,153.4,31.2
2006,401,Queens,56663.4,8809.5,5727.4,0,0,235.7,19
2007,401,Queens,55084.4,8506.4,5644,0,0,79.6,31.2
2008,401,Queens,53050.8,8132,5553.1,0,0,0,35.1
2009,401,Queens,52505,7260.6,5544.1,0,0,0,19.5
2010,401,Queens,48736.7,6948.3,5163.1,0,0,0,19.5
2011,401,Queens,51120.1,7153.3,5384.2,0,0,0,0
2012,401,Queens,49185.3,6762.3,5106.8,0,0,0,15.6
2013,401,Queens,49041.6,6650.5,5496.7,0,0,0,31.2
2014,401,Queens,49191.7,6887,6049.5,0,0,0,35.1
2015,401,Queens,47902.3,6802.7,6362.5,0,0,0,50.7
2016,401,Queens,46982.3,6992.3,6864.7,0,0,59.6,39
2017,401,Queens,46173,7018.1,6947.8,0,0,38.9,46.8
2018,401,Queens,47050.9,7278.5,7195.4,0,0,80.9,54.6
2019,401,Queens,46572.9,7184.2,7412.3,0,0,49.2,28
2020,401,Queens,50702.4,7931.1,8680.2,0,0,0,42
2021,401,Queens,49946.3,7714.1,7742.8,0,0,29.6,29
2022,401,Queens,47543.5,7082.5,7046.8,301.8,0,0,23.4
2023,401,Queens,36939.6,5263,5328.8,556.2,0,0,35.1
1991,402,Queens,26793.4,0,0,0,0,0,0
1992,402,Queens,35817.1,0,0,0,0,0,0
1993,402,Queens,35054.5,1004.1,569.5,0,0,0,0
1994,402,Queens,32846.3,3287.2,2067.2,0,0,0,15.8
1995,402,Queens,32167.9,2769.2,2164.4,0,0,0,17
1996,402,Queens,32965.3,3219.9,2201.7,0,0,0,0
1997,402,Queens,32443.1,3559.9,2501.8,0,0,0,19.4
1998,402,Queens,30676,4480.8,3422.6,0,0,0,21
1999,402,Queens,30218.5,4933.2,3956.1,0,0,123.6,23.4
2000,402,Queens,29634.8,5270.7,4379.8,0,0,86.8,30.4
2001,402,Queens,30614.3,5346,4630.1,0,0,106.3,29.4
2002,402,Queens,33754.9,4867.6,2346.3,0,0,0,18.3
2003,402,Queens,37392.2,4563.8,0,0,0,0,0
2004,402,Queens,35040.5,5402,2753.4,0,0,108.7,7.6
2005,402,Queens,33607.5,5308.4,3472.4,0,0,77.3,11.4
2006,402,Queens,33290.5,4965,3172.1,0,0,112.2,11.6
2007,402,Queens,33335.2,4882.4,3078.4,0,0,51,19
2008,402,Queens,32542.6,4693.3,3174.3,0,0,0,22.8
2009,402,Queens,32472.7,4437.1,3391.3,0,0,0,11.4
2010,402,Queens,32001.3,4352.7,3133.6,0,0,0,19
2011,402,Queens,33491.1,4539.3,3201.3,0,0,0,0
2012,402,Queens,32838.7,4425,3178.6,0,0,0,22.8
2013,402,Queens,32943.1,4434,3274.4,0,0,0,38
2014,402,Queens,33893,4719.7,3558.2,0,0,0,34.2
2015,402,Queens,34207.4,4809.8,3830.7,0,0,0,30.4
2016,402,Queens,34754.4,5021,4158,0,0,21,38
2017,402,Queens,34973.6,4963.9,4428.9,176.4,0,0,45.6
2018,402,Queens,35666,5182.1,4605.3,918.2,0,0,38
2019,402,Queens,34984.5,5052,4628.5,929.1,425.5,0,12.8
2020,402,Queens,38128.2,5425.2,5525.3,293.9,155.9,0,22.8
2021,402,Queens,38860.6,5563.4,5062.3,0,147.1,33.3,21.3
2022,402,Queens,37361.2,5241.9,4938.7,124,1664.1,0,15.2
2023,402,Queens,27818.1,3834.4,3752.6,217.4,1417.4,0,22.8
1991,403,Queens,43596.3,0,0,0,0,0,0
1992,403,Queens,57680.2,0,0,0,0,0,0
1993,403,Queens,55609,1225.4,845.7,0,0,0,0
1994,403,Queens,52859.4,3877.3,2995.6,0,0,0,13.1
1995,403,Queens,53283.3,3268.8,3115.7,0,0,0,16.8
1996,403,Queens,55841.3,3758.6,3222.2,0,0,0,5.5
1997,403,Queens,55595.1,4061.3,3605.4,0,0,0,20.1
1998,403,Queens,53113.6,5012.6,4934.3,0,0,0,26.9
1999,403,Queens,53505.8,5518.6,5737.3,0,0,233.4,30.5
2000,403,Queens,53465.4,6028,6663.7,0,0,139,35
2001,403,Queens,55052.9,6060.1,6944.5,0,0,163.2,27.9
2002,403,Queens,60501.7,5201,3488.4,0,0,0,23.6
2003,403,Queens,66733.4,4853,0,0,0,0,0
2004,403,Queens,64156.8,5601.4,3878,0,0,181.5,13.2
2005,403,Queens,62675.1,5726.5,5018.5,0,0,154.9,36.6
2006,403,Queens,60923,5389.7,4483.6,0,0,209.5,4.5
2007,403,Queens,58506.6,5329.3,4427.8,0,0,65.2,17.6
2008,403,Queens,56361.6,5078.3,4537.2,0,0,0,22
2009,403,Queens,57123.6,4759.5,4620.1,0,0,0,13.2
2010,403,Queens,55768.9,4570.9,4311.7,0,0,0,13.2
2011,403,Queens,58550.4,4752.4,4371.8,0,0,0,0
2012,403,Queens,56707.3,4512.8,4183.2,0,0,0,22
2013,403,Queens,55964.2,4492.3,4258.1,0,0,0,22
2014,403,Queens,56719.6,4527.3,4385.2,0,0,0,30.8
2015,403,Queens,57016.1,4482.7,4787,0,0,0,26.4
2016,403,Queens,57855,4687.3,5215.7,0,0,30.9,35.2
2017,403,Queens,57658,4502.3,5539.8,0,0,28.2,22
2018,403,Queens,58404,4579,5536.9,0,0,28.5,39.6
2019,403,Queens,58108.6,4370.1,5592.8,0,0,18.9,30
2020,403,Queens,62589.4,4909.1,7092.6,0,0,0,29.5
2021,403,Queens,62215.9,4764.6,6238.5,0,0,5.4,19.3
2022,403,Queens,56294.3,4305.6,5879,139.7,0,0,22
2023,403,Queens,43167.6,3131.9,4510.7,215.9,0,0,22
1991,404,Queens,37947,0,0,0,0,0,0
1992,404,Queens,52081.8,0,0,0,0,0,0
1993,404,Queens,50727.8,948.8,681,0,0,0,0
1994,404,Queens,48520.4,3244.6,2425.4,0,0,0,14
1995,404,Queens,48400.3,2783.9,2616.6,0,0,0,11.7
1996,404,Queens,50031.2,3276.7,2624.1,0,0,0,1.7
1997,404,Queens,49768.1,3584.2,2919,0,0,0,14.8
1998,404,Queens,48078.4,4447.3,4025.9,0,0,0,16.3
1999,404,Queens,48015.6,4867.2,4679.1,0,0,111.5,18.3
2000,404,Queens,48051.8,5293.9,5251.9,0,0,91.3,22.9
2001,404,Queens,49694.5,5385.3,5598,0,0,101.9,17.7
2002,404,Queens,53637.8,4889.1,2743.3,0,0,0,13.7
2003,404,Queens,58035.9,4535.7,0,0,0,0,0
2004,404,Queens,55535.4,5297.1,3089,0,0,101.4,6.6
2005,404,Queens,53596.6,5394.1,4002.6,0,0,69.9,9.9
2006,404,Queens,52968.4,5168.8,3672.2,0,0,89.7,8
2007,404,Queens,52930.7,4899.8,3486.9,0,0,31.4,9.9
2008,404,Queens,52123.6,4583.2,3449.8,0,0,0,13.2
2009,404,Queens,52371.6,4279.9,3583.2,0,0,0,9.9
2010,404,Queens,51291,4185,3295.5,0,0,0,9.9
2011,404,Queens,52846.6,4338.4,3326.9,0,0,0,0
2012,404,Queens,51441.7,4131.1,3181.8,0,0,0,13.2
2013,404,Queens,50083.4,4080.2,3336.7,0,0,0,13.2
2014,404,Queens,50128.9,4148.1,3439.3,0,0,0,19.8
2015,404,Queens,49904.7,4091.6,3800.1,0,0,0,16.5
2016,404,Queens,48706,4107.1,4292.4,0,0,17.5,16.5
2017,404,Queens,47458,4045.3,4635.4,0,0,13.3,16.5
2018,404,Queens,47833.8,4116.9,4746.5,0,0,23,33
2019,404,Queens,47232.3,3922.5,4927,0,0,12.2,5.2
2020,404,Queens,50638.9,4420.2,6555.8,0,0,0,15.2
2021,404,Queens,51212.9,4319.4,7169.6,0,0,5.6,9.8
2022,404,Queens,47871.7,3883.3,6290.2,104.4,0,0,33
2023,404,Queens,36597,2852.9,4331.5,155.5,0,0,6.6
1991,405,Queens,51173.3,0,0,0,0,0,0
1992,405,Queens,69256.2,0,0,0,0,0,0
1993,405,Queens,64344.5,2227.9,1272.4,0,0,0,0
1994,405,Queens,57610.8,7475.6,4685.5,0,0,0,33.1
1995,405,Queens,57395.1,6463,4649,0,0,0,41.7
1996,405,Queens,60350.7,7188.6,4664.1,0,0,0,0
1997,405,Queens,57027.9,8382.9,5253.3,0,0,0,59.6
1998,405,Queens,52327.4,11331.5,7688.4,0,0,0,66.5
1999,405,Queens,52261.6,11695.5,8491.3,0,0,550,61.8
2000,405,Queens,52847.6,12031.9,8873.4,0,0,394.9,84.5
2001,405,Queens,54893.2,11701.1,9346.2,0,0,496.4,55.2
2002,405,Queens,61553,10721.5,4774.4,0,0,0,69.9
2003,405,Queens,67319.5,10265.9,0,0,0,0,0
2004,405,Queens,64709.4,11529.7,5488.5,0,0,404.4,20
2005,405,Queens,61384,11298.2,7235.7,0,0,346.5,39
2006,405,Queens,61082.2,10934.3,6982.4,0,0,438,21
2007,405,Queens,61125.2,10624.1,6866,0,0,210.6,55
2008,405,Queens,59585.8,9818,6876.1,0,0,0,60
2009,405,Queens,59384.7,8931.2,6719.6,0,0,0,40
2010,405,Queens,58495.8,8445.6,6315.3,0,0,0,45
2011,405,Queens,60850.1,8842.9,6420.5,0,0,0,0
2012,405,Queens,59551.3,8074.2,6256.1,0,0,0,30
2013,405,Queens,58483.2,8047.7,6520.2,0,0,0,55
2014,405,Queens,57169.7,7958.5,6962.4,930.6,209.9,0,45
2015,405,Queens,56187.8,7817.7,7589.6,1462.7,965,0,55
2016,405,Queens,55550.2,7954.7,8279.1,1684.9,970,19.3,70
2017,405,Queens,54490.8,7389.1,8598.5,2380.3,692.6,0,75
2018,405,Queens,56488.3,7546.5,8407.6,1774.4,577.5,0,60
2019,405,Queens,55594.9,7352.6,8493,1900.2,612.1,0,28.8
2020,405,Queens,61975.5,7670.5,10517,458.7,165.1,0,72.3
2021,405,Queens,62041,7642.2,8936.6,0,104.7,7.5,36.5
2022,405,Queens,57160.9,7005.5,8041.8,427.5,1128.2,0,40
2023,405,Queens,42175.4,5132.3,6045.1,599.2,927.9,0,30
1991,406,Queens,25232.8,0,0,0,0,0,0
1992,406,Queens,34045.5,0,0,0,0,0,0
1993,406,Queens,34017.8,3544.6,1450.5,0,0,0,0
1994,406,Queens,35322.5,5108.6,2294.1,0,0,0,16.6
1995,406,Queens,35376.1,4007.2,2364.8,0,0,0,14.4
1996,406,Queens,36712.9,5157.5,2318.5,0,0,0,0
1997,406,Queens,36353.4,5861.3,2551.8,0,0,5.4,22.6
1998,406,Queens,34944.9,6831.7,3399.4,0,0,0,24.4
1999,406,Queens,34838.4,7165.8,3738.6,0,0,526.5,27.5
2000,406,Queens,34808,7556.2,4214.2,0,0,316.1,32.4
2001,406,Queens,35094.1,7302.5,4357.5,0,0,422.5,24.1
2002,406,Queens,38165.7,6778.2,2278.7,0,0,0,16.5
2003,406,Queens,40514.1,6382.6,0,0,0,0,0
2004,406,Queens,37979.5,7101.4,2859.4,0,0,454.2,7.9
2005,406,Queens,36805.4,7044.7,3733.2,0,0,405.2,10.2
2006,406,Queens,36191.7,6887.8,3511.5,0,0,556.3,14.5
2007,406,Queens,35695.9,6584.3,3416.5,0,0,158.4,17
2008,406,Queens,34327.7,6044.4,3406,0,0,0,20.4
2009,406,Queens,33618.4,5372.9,3511.3,0,0,0,13.6
2010,406,Queens,33054.3,5144.7,3283.7,0,0,0,13.6
2011,406,Queens,34678.2,5311,3226.3,0,0,0,0
2012,406,Queens,33902,5124.9,3234.6,0,0,0,13.6
2013,406,Queens,33497.5,4973.6,3274.4,0,0,0,17
2014,406,Queens,33384.9,5119.9,3456.5,0,0,0,20.4
2015,406,Queens,32998.9,5174.9,3694.9,0,0,0,20.4
2016,406,Queens,33239.3,5246.4,4027.3,0,0,147.6,27.2
2017,406,Queens,33373.7,5119.8,4157.6,0,0,134.7,20.4
2018,406,Queens,33332.4,5123.6,4241.6,0,0,201.4,31.8
2019,406,Queens,33038.6,4869.6,4255.1,0,61.7,147,35.2
2020,406,Queens,35182.9,5162.2,5074,0,181.8,0,6.4
2021,406,Queens,34583.3,4984.1,4764.4,0,0,94,9.3
2022,406,Queens,32381.2,4496.9,4386.3,333.4,0,0,13.6
2023,406,Queens,24438.2,3213.5,3307.3,331.3,0,0,10.2
1990,407,Queens,12913.8,0,0,0,0,0,0
1991,407,Queens,74291.1,0,0,0,0,0,0
1992,407,Queens,73939.4,0,0,0,0,0,0
1993,407,Queens,71933.5,3403.8,3515.1,0,0,0,0
1994,407,Queens,73503.7,9821.6,5234,0,0,0,30.8
1995,407,Queens,71292.5,8855.1,6195.8,0,0,0,41.9
1996,407,Queens,74171,9439.3,6564,0,0,0,19.5
1997,407,Queens,75566.9,10550.6,7084.7,0,0,0,71.1
1998,407,Queens,73377.9,13492.9,8337.9,0,0,0,74.1
1999,407,Queens,71723.1,14082.8,8633.7,0,0,1471.4,80.2
2000,407,Queens,71590,14238.3,8611.2,0,0,1119.1,86
2001,407,Queens,75635,13580.9,8692.4,0,0,1295.8,66.8
2002,407,Queens,82959,13047.5,4302.9,0,0,0,64.6
2003,407,Queens,90951.4,12413.1,0,0,0,0,0
2004,407,Queens,85513.4,14317.5,5528.7,0,0,1332.8,31.2
2005,407,Queens,82169,14281.6,6936,0,0,1112,72.8
2006,407,Queens,81649.3,14294.8,6675.8,0,0,1462.8,98.8
2007,407,Queens,79047.4,13636.9,6643.5,0,0,346.5,52
2008,407,Queens,78654.5,12603.6,6692.6,0,0,0,67.6
2009,407,Queens,78047.5,11228.2,6709.9,0,0,0,52
2010,407,Queens,75179.7,10611.2,6311.5,0,0,0,46.8
2011,407,Queens,79048.2,10786.2,6363.4,0,0,0,0
2012,407,Queens,77139,10130.6,5777.8,0,0,0,41.6
2013,407,Queens,76810.8,10087.9,6308.3,0,0,0,59.8
2014,407,Queens,77476.9,10011.6,6745.3,0,0,0,101.4
2015,407,Queens,77321.7,9897.3,7203.1,0,0,0,62.4
2016,407,Queens,77379.5,9855.4,7874.9,0,0,386.3,41.6
2017,407,Queens,76500.9,9710.8,8076.4,1025.5,0,0,46.8
2018,407,Queens,75229.4,9870.6,8343.8,2696.6,0,0,57.2
2019,407,Queens,74738.1,9493.6,8527.6,1886.7,0,51.7,51.3
2020,407,Queens,82928.8,9878.5,10340.5,428.4,0,12,82.8
2021,407,Queens,84244.3,9611.4,9577.4,0,0,201.4,31.2
2022,407,Queens,78832.5,8901.8,8962.8,709.3,0,34,36.9
2023,407,Queens,58710.9,6457.5,6746.8,747.1,0,0,40.7
1990,408,Queens,7269.4,0,0,0,0,0,0
1991,408,Queens,42047.5,0,0,0,0,0,0
1992,408,Queens,42462.5,0,0,0,0,0,0
1993,408,Queens,41059.3,3896.3,1874.1,0,0,0,0
1994,408,Queens,42105.5,5746,2796.2,0,0,0,10.9
1995,408,Queens,42342,4543.6,2687.4,0,0,0,8.2
1996,408,Queens,46107.4,5052.7,2611.4,0,0,0,10
1997,408,Queens,45809.5,5728.8,2846.7,0,0,5.2,19.8
1998,408,Queens,44511.2,6715.6,3424.5,0,0,0,34.3
1999,408,Queens,42987.1,7057.1,3755.7,0,0,1169.9,25.8
2000,408,Queens,41353.1,8074.5,4376.6,0,0,953.3,35
2001,408,Queens,44176.6,7778.2,4599.8,0,0,1116.3,26.6
2002,408,Queens,48569.7,6654.3,2390.9,0,0,0,23.1
2003,408,Queens,51890,6666,0,0,0,0,0
2004,408,Queens,48414.5,7554.4,3002.8,0,0,1029.9,9.6
2005,408,Queens,47213.4,7541.5,3904.9,0,0,975.9,14.4
2006,408,Queens,46939.4,7316.2,3786.9,0,0,1086.7,16.2
2007,408,Queens,44237.5,7113,3722.5,0,0,201.2,14.4
2008,408,Queens,42630.6,6682.2,3785.4,0,0,0,14.4
2009,408,Queens,42020.8,6066.9,3838.6,0,0,0,14.4
2010,408,Queens,41442.7,5971.2,3757.2,0,0,0,10.8
2011,408,Queens,44473.9,6136.1,3786.7,0,0,0,0
2012,408,Queens,43623.9,5857.8,3779.5,0,0,0,10.8
2013,408,Queens,42943.5,5788.9,3800.4,0,0,0,21.6
2014,408,Queens,43675.6,5823.5,3932.7,0,0,0,28.8
2015,408,Queens,43434.9,5737.1,4126.7,0,0,0,21.6
2016,408,Queens,43436,5916.8,4519.1,0,0,191.8,18
2017,408,Queens,41973.5,5604.2,4689.5,632.9,0,130.7,18
2018,408,Queens,42724.7,5589,4700.6,1133.8,0,0,18
2019,408,Queens,42669.8,5408.9,4739.5,1004.1,0,27.4,21.6
2020,408,Queens,46644.9,5633.2,5493.4,367.3,0,0,38.4
2021,408,Queens,46929.2,5459.1,4973.6,0,0,104.4,7.2
2022,408,Queens,44086.6,5024.4,4643.4,449.3,0,0,7.2
2023,408,Queens,33191.9,3659.6,3536.1,432.7,0,0,10.8
1991,409,Queens,38059.9,0,0,0,0,0,0
1992,409,Queens,52956.2,0,0,0,0,0,0
1993,409,Queens,50821,1453.8,856.1,0,0,0,0
1994,409,Queens,47558,4803.3,3341.4,0,0,0,18.7
1995,409,Queens,48310.1,4141.6,3558.3,0,0,0,17.4
1996,409,Queens,50217.1,4596.4,3604.7,0,0,0,0.9
1997,409,Queens,49263.6,5277.8,3886.3,0,0,0,36.3
1998,409,Queens,46889,6386.4,5295.4,0,0,0,41
1999,409,Queens,45829.5,6621.8,6295.4,0,0,544.4,42.6
2000,409,Queens,44955.6,7161.7,7297.3,0,0,375.1,41.4
2001,409,Queens,46543.6,7168.1,7469.8,0,0,484.2,32
2002,409,Queens,52230.8,6146.5,3646.6,0,0,0,29.5
2003,409,Queens,56864.1,5965.1,0,0,0,11.2,0
2004,409,Queens,54465.5,6838.7,3860.7,0,0,444.8,12.9
2005,409,Queens,52656.6,6742,4889.6,0,0,370,13.5
2006,409,Queens,52184.9,6528.7,4593.1,0,0,505.3,17
2007,409,Queens,50404.6,6395,4534.9,0,0,154.8,22.5
2008,409,Queens,49175.8,6029,4593.2,0,0,0,22.5
2009,409,Queens,48893.1,5476.1,4587.8,0,0,0,13.5
2010,409,Queens,48086.5,5297.5,4389.1,0,0,0,18
2011,409,Queens,50337.9,5410.3,4459.1,0,0,0,0
2012,409,Queens,48649.5,5182,4374.3,0,0,0,13.5
2013,409,Queens,47864.7,5131.3,4566,0,0,0,22.5
2014,409,Queens,47841.4,5229.8,4871.4,0,0,0,27
2015,409,Queens,47565.4,5228.4,5267.1,0,4.4,0,31.5
2016,409,Queens,47764.1,5398.2,5810.3,0,296.5,144.2,23.4
2017,409,Queens,47673.5,5183.4,6061.6,637.9,316.2,0,36
2018,409,Queens,46398.4,5343.5,6129.8,2502.9,315.7,0,45
2019,409,Queens,45504.1,5288.3,6227,2197.2,336.2,0,15.3
2020,409,Queens,51126.1,5356.8,7943.5,610.1,92.4,0,36
2021,409,Queens,50932.6,5355.9,6964,0,114.5,26.4,22.5
2022,409,Queens,47007.4,5015.6,6180.3,532.7,1090.8,0,27
2023,409,Queens,34913,3721.2,4577.1,824.6,819.2,0,13.5
1990,410,Queens,4896.5,0,0,0,0,0,0
1991,410,Queens,58067.7,0,0,0,0,0,0
1992,410,Queens,58210.4,0,0,0,0,0,0
1993,410,Queens,54784.6,1430.9,878.3,0,0,0,0
1994,410,Queens,50691.4,4488.1,3151,0,0,0,17.7
1995,410,Queens,49615.5,4044.3,3401.2,0,0,0,18
1996,410,Queens,51505.3,4210.4,3384.1,0,0,0,0.4
1997,410,Queens,48965.3,4773.4,3807.4,0,0,0,40.5
1998,410,Queens,45584.4,5966.8,4997.3,0,0,0,45.9
1999,410,Queens,44712.8,6307.8,5704.3,0,0,550.6,41.6
2000,410,Queens,44153.6,6888.5,6473.4,0,0,404.4,46.8
2001,410,Queens,46176,6834.5,6617.6,0,0,571.6,34.7
2002,410,Queens,50876.8,5822,3308.5,0,0,0,33.7
2003,410,Queens,54342,5933.3,0,0,0,0,0
2004,410,Queens,51985,6790.2,4096.2,0,0,472.3,64.8
2005,410,Queens,49643.7,6685.2,5248.3,0,0,377,35.4
2006,410,Queens,48899.7,6505,5041.8,0,0,461.3,35.4
2007,410,Queens,46501.5,6273.2,4800.2,0,0,168.1,41.3
2008,410,Queens,45089.1,5884.1,4736.3,0,0,0,35.4
2009,410,Queens,44462.9,5342.4,4669.1,0,0,0,35.4
2010,410,Queens,43461.3,5051.6,4399.3,0,0,0,29.5
2011,410,Queens,46479.1,5153,4349.7,0,0,0,0
2012,410,Queens,45062.5,4783.5,4210.6,0,0,0,23.6
2013,410,Queens,46396.3,4834.7,4341.3,0,0,0,29.5
2014,410,Queens,45081.5,4771.5,4438,0,0,0,35.4
2015,410,Queens,43723.4,4718.9,4726.6,729.7,0,0,41.3
2016,410,Queens,41119.3,4858.1,5375.2,2053.3,0,0,29.5
2017,410,Queens,41359.4,4590.2,5515.3,1370.7,0,0,41.3
2018,410,Queens,43759.9,4616.8,5707.3,950.7,0,0,35.4
2019,410,Queens,44496.3,4456.1,5884.9,689.9,0,0,12
2020,410,Queens,49614.1,4634.2,7400.7,227.4,0,0,59
2021,410,Queens,49146.8,4461.5,6698.2,0,0,43.5,14.2
2022,410,Queens,45472.5,4079,6206.6,445.3,0,0,11.3
2023,410,Queens,33870.7,2979.9,4668.2,391.9,0,0,17.7
1990,411,Queens,7393.9,0,0,0,0,0,0
1991,411,Queens,41107.6,0,0,0,0,0,0
1992,411,Queens,41213.1,0,0,0,0,0,0
1993,411,Queens,39094.1,4642.5,2000.6,0,0,0,0
1994,411,Queens,40274,6779.4,2940.8,0,0,0,27.7
1995,411,Queens,38913,6448.7,2965.1,0,0,0,34.7
1996,411,Queens,41791,6613,2908,0,0,0,10
1997,411,Queens,42237.6,7339.7,3083.5,0,0,0,56.2
1998,411,Queens,40368.5,8698.3,3974.6,0,0,0,73
1999,411,Queens,38300.8,9064.5,4236,0,0,1574.5,70.4
2000,411,Queens,37151.2,9316.3,4692,0,0,1319.8,65.4
2001,411,Queens,38742.7,8844.8,5017,0,0,1619.4,55.7
2002,411,Queens,42993.5,8649.6,2485.4,0,0,14.8,60.9
2003,411,Queens,46425.8,8388,0,0,0,0,0
2004,411,Queens,42438.6,9324.9,3413.8,0,0,1563.6,30
2005,411,Queens,40717.9,9306.3,4420.7,0,0,1252.4,60
2006,411,Queens,41086.7,9082.2,4395.3,0,0,1503,42
2007,411,Queens,39624.9,8593.1,4410.6,0,0,409.7,60
2008,411,Queens,38820.8,8096,4334.1,0,0,0,60
2009,411,Queens,38191.6,7034.9,4250.7,0,0,0,42
2010,411,Queens,36479.1,6652.7,3898.1,0,0,0,36
2011,411,Queens,38456.2,6675.6,3932.4,0,0,0,0
2012,411,Queens,37420,6278.8,3702.3,0,0,0,36
2013,411,Queens,36277.6,6222.9,3981.4,0,0,0,55.5
2014,411,Queens,36010.5,6216.9,4247.2,0,0,0,52.5
2015,411,Queens,35899.3,6086.6,4567.7,0,0,0,60
2016,411,Queens,35051.9,6106.1,4850.8,339.4,0,411.1,36
2017,411,Queens,31810.2,5973.5,4890.4,2841.7,0,0,51
2018,411,Queens,33468.9,5888.4,5056.4,1953.3,0,24.2,36
2019,411,Queens,33438.8,5515.3,5065.5,1648,284.9,57.7,59.4
2020,411,Queens,38564.6,5777.4,6022.1,492.4,182.4,0,35
2021,411,Queens,38353.2,5568.3,5404.2,0,135.4,165.9,18
2022,411,Queens,35522.6,5131.2,5070.2,724.7,694.7,0,42
2023,411,Queens,26125.3,3686,3777.1,744.8,504.7,0,44.6
1990,412,Queens,8254.1,0,0,0,0,0,0
1991,412,Queens,84448,0,0,0,0,0,0
1992,412,Queens,85262.4,0,0,0,0,0,0
1993,412,Queens,87732.8,3278.1,3517.4,0,0,0,0
1994,412,Queens,90770,4789.3,5178.8,0,0,0,4.3
1995,412,Queens,89938.7,4446.3,5274,0,0,0,10.3
